+----+-----------------+----------------+---------------+---------------+-------+---------+
|    | Package         | Type           |          Corr |             p |   Lag |   alpha |
|----+-----------------+----------------+---------------+---------------+-------+---------|
|  0 | statsmodels     | Point-Biserial |  -0.539483    |   0.0140915   |     1 |       2 |
|  1 | statsmodels     | Pearson        |  -0.678468    |   0.00100751  |     1 |       2 |
|  2 | statsmodels     | Point-Biserial |  -0.345276    |   0.0291042   |     2 |       2 |
|  3 | statsmodels     | Pearson        |  -0.426397    |   0.00607697  |     2 |       2 |
|  4 | statsmodels     | Point-Biserial |  -0.336758    |   0.00851405  |     3 |       2 |
|  5 | statsmodels     | Pearson        |  -0.383926    |   0.00245934  |     3 |       2 |
|  6 | statsmodels     | Point-Biserial |  -0.315411    |   0.00437391  |     4 |       2 |
|  7 | statsmodels     | Pearson        |  -0.430883    |   6.61172e-05 |     4 |       2 |
|  8 | statsmodels     | Point-Biserial |  -0.341817    |   0.000500199 |     5 |       2 |
|  9 | statsmodels     | Pearson        |  -0.363413    |   0.000202123 |     5 |       2 |
| 10 | statsmodels     | Point-Biserial |  -0.332517    |   0.000206786 |     6 |       2 |
| 11 | statsmodels     | Pearson        |  -0.369783    |   3.22891e-05 |     6 |       2 |
| 12 | statsmodels     | Point-Biserial |  -0.319569    |   0.000118742 |     7 |       2 |
| 13 | statsmodels     | Pearson        |  -0.290496    |   0.000498102 |     7 |       2 |
|  0 | vars            | Point-Biserial |  -0.563962    |   0.00959888  |     1 |       2 |
|  1 | vars            | Pearson        |  -0.725281    |   0.000296219 |     1 |       2 |
|  2 | vars            | Point-Biserial |  -0.386379    |   0.0137908   |     2 |       2 |
|  3 | vars            | Pearson        |  -0.57368     |   0.000108886 |     2 |       2 |
|  4 | vars            | Point-Biserial |  -0.304134    |   0.0181511   |     3 |       2 |
|  5 | vars            | Pearson        |  -0.483048    |   9.26138e-05 |     3 |       2 |
|  6 | vars            | Point-Biserial |  -0.297379    |   0.00738701  |     4 |       2 |
|  7 | vars            | Pearson        |  -0.502644    |   2.02223e-06 |     4 |       2 |
|  8 | vars            | Point-Biserial |  -0.310373    |   0.00167392  |     5 |       2 |
|  9 | vars            | Pearson        |  -0.540499    |   6.45519e-09 |     5 |       2 |
| 10 | vars            | Point-Biserial |  -0.287009    |   0.00148161  |     6 |       2 |
| 11 | vars            | Pearson        |  -0.529328    |   5.11005e-10 |     6 |       2 |
| 12 | vars            | Point-Biserial |  -0.254334    |   0.00242641  |     7 |       2 |
| 13 | vars            | Pearson        |  -0.490905    |   7.38077e-10 |     7 |       2 |
|  0 | lmtest          | Point-Biserial |  -0.564066    |   0.00958256  |     1 |       2 |
|  1 | lmtest          | Pearson        |  -0.725364    |   0.000295517 |     1 |       2 |
|  2 | lmtest          | Point-Biserial |  -0.386384    |   0.0137896   |     2 |       2 |
|  3 | lmtest          | Pearson        |  -0.573702    |   0.000108804 |     2 |       2 |
|  4 | lmtest          | Point-Biserial |  -0.304139    |   0.0181492   |     3 |       2 |
|  5 | lmtest          | Pearson        |  -0.483071    |   9.25321e-05 |     3 |       2 |
|  6 | lmtest          | Point-Biserial |  -0.297364    |   0.00739023  |     4 |       2 |
|  7 | lmtest          | Pearson        |  -0.502627    |   2.02414e-06 |     4 |       2 |
|  8 | lmtest          | Point-Biserial |  -0.310345    |   0.00167566  |     5 |       2 |
|  9 | lmtest          | Pearson        |  -0.54053     |   6.44012e-09 |     5 |       2 |
| 10 | lmtest          | Point-Biserial |  -0.286937    |   0.00148588  |     6 |       2 |
